ID,Var_ID,Name,Description,ord
CARNEIRO6_001-0,CARNEIRO6_001,absent,absent,0
CARNEIRO6_001-1,CARNEIRO6_001,present,present,1
CARNEIRO6_002-0,CARNEIRO6_002,absent,absent,0
CARNEIRO6_002-1,CARNEIRO6_002,present,present,1
CARNEIRO6_003-0,CARNEIRO6_003,absent,absent,0
CARNEIRO6_003-1,CARNEIRO6_003,present,present,1
CARNEIRO6_004-0,CARNEIRO6_004,absent,absent,0
CARNEIRO6_004-1,CARNEIRO6_004,present,present,1
CARNEIRO6_005-0,CARNEIRO6_005,absent,absent,0
CARNEIRO6_005-1,CARNEIRO6_005,present,present,1
CARNEIRO6_006-0,CARNEIRO6_006,absent,absent,0
CARNEIRO6_006-1,CARNEIRO6_006,present,present,1
CARNEIRO6_007-0,CARNEIRO6_007,absent,absent,0
CARNEIRO6_007-1,CARNEIRO6_007,present,present,1
CARNEIRO6_008-0,CARNEIRO6_008,absent,absent,0
CARNEIRO6_008-1,CARNEIRO6_008,present,present,1
CARNEIRO6_009-0,CARNEIRO6_009,absent,absent,0
CARNEIRO6_009-1,CARNEIRO6_009,present,present,1
CARNEIRO6_010-0,CARNEIRO6_010,absent,absent,0
CARNEIRO6_010-1,CARNEIRO6_010,present,present,1
CARNEIRO6_011-0,CARNEIRO6_011,absent,absent,0
CARNEIRO6_011-1,CARNEIRO6_011,present,present,1
CARNEIRO6_012-0,CARNEIRO6_012,absent,absent,0
CARNEIRO6_012-1,CARNEIRO6_012,present,present,1
CARNEIRO6_013-0,CARNEIRO6_013,absent,absent,0
CARNEIRO6_013-1,CARNEIRO6_013,present,present,1
CARNEIRO6_014-0,CARNEIRO6_014,absent,absent,0
CARNEIRO6_014-1,CARNEIRO6_014,present,present,1
CARNEIRO6_015-0,CARNEIRO6_015,absent,absent,0
CARNEIRO6_015-1,CARNEIRO6_015,present,present,1
CARNEIRO6_016-0,CARNEIRO6_016,absent,absent,0
CARNEIRO6_016-1,CARNEIRO6_016,present,present,1
CARNEIRO6_017-0,CARNEIRO6_017,absent,absent,0
CARNEIRO6_017-1,CARNEIRO6_017,present,present,1
