ID,Soc_ID,Var_ID,Value,Code_ID,Comment,Source,sub_case,year,source_coded_data,admin_comment
2,CARNEIRO6_023,CARNEIRO6_001,1,CARNEIRO6_001-1,,,,,,
3,CARNEIRO6_023,CARNEIRO6_002,1,CARNEIRO6_002-1,,morgan1901[Vol. 1  191];morgan1901[Vol. 2  249],,,,
4,CARNEIRO6_023,CARNEIRO6_003,1,CARNEIRO6_003-1,?,,,,,
5,CARNEIRO6_023,CARNEIRO6_004,0,CARNEIRO6_004-0,(-),,,,,
6,CARNEIRO6_023,CARNEIRO6_005,0,CARNEIRO6_005-0,,,,,,
7,CARNEIRO6_023,CARNEIRO6_006,0,CARNEIRO6_006-0,,,,,,
8,CARNEIRO6_023,CARNEIRO6_007,0,CARNEIRO6_007-0,,morgan1901[Vol. 2  250],,,,
9,CARNEIRO6_023,CARNEIRO6_008,0,CARNEIRO6_008-0,,,,,,
10,CARNEIRO6_023,CARNEIRO6_009,0,CARNEIRO6_009-0,,,,,,
11,CARNEIRO6_023,CARNEIRO6_010,0,CARNEIRO6_010-0,,morgan1901[Vol. 1  320],,,,
12,CARNEIRO6_023,CARNEIRO6_011,0,CARNEIRO6_011-0,,,,,,
13,CARNEIRO6_023,CARNEIRO6_012,0,CARNEIRO6_012-0,,,,,,
14,CARNEIRO6_023,CARNEIRO6_013,0,CARNEIRO6_013-0,,,,,,
15,CARNEIRO6_023,CARNEIRO6_014,0,CARNEIRO6_014-0,,,,,,
16,CARNEIRO6_023,CARNEIRO6_015,1,CARNEIRO6_015-1,,morgan1901[Vol. 2  273],,,,
17,CARNEIRO6_023,CARNEIRO6_016,0,CARNEIRO6_016-0,,,,,,
18,CARNEIRO6_023,CARNEIRO6_017,0,CARNEIRO6_017-0,,,,,,
19,CARNEIRO6_023,CARNEIRO6_018,0,CARNEIRO6_018-0,,morgan1901[Vol. 1  178],,,,
20,CARNEIRO6_023,CARNEIRO6_019,0,CARNEIRO6_019-0,,,,,,
21,CARNEIRO6_023,CARNEIRO6_020,0,CARNEIRO6_020-0,,,,,,
22,CARNEIRO6_023,CARNEIRO6_021,0,CARNEIRO6_021-0,,morgan1901[Vol. 1  317],,,,
23,CARNEIRO6_023,CARNEIRO6_022,0,CARNEIRO6_022-0,,,,,,
24,CARNEIRO6_023,CARNEIRO6_023,0,CARNEIRO6_023-0,,,,,,
25,CARNEIRO6_023,CARNEIRO6_024,0,CARNEIRO6_024-0,,,,,,
26,CARNEIRO6_023,CARNEIRO6_025,0,CARNEIRO6_025-0,,,,,,
27,CARNEIRO6_023,CARNEIRO6_026,0,CARNEIRO6_026-0,,,,,,
28,CARNEIRO6_023,CARNEIRO6_027,0,CARNEIRO6_027-0,,,,,,
