ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region
CARNEIRO6_001,Ancient Romans,41.9,12.5,lati1261,Roman Empire,,,125,Imperial Romans (EI09),EI09,,,,,Southeastern Europe
CARNEIRO6_002,Ancient India,25.6,85.1,clas1258,Ancient India (Mauryan Empire),,,-250,,,,,Coordinates for capital city of Pataliputra (modern Patna),,Indian Subcontinent
CARNEIRO6_003,Ancient Egyptians,30,31,egyp1246,New Kingdom Egypt,,,-1350,,,,,,,Northern Africa
CARNEIRO6_004,Classical Athens,38,23.7,anci1242,Periclean Athens,,,-450,,,,,,,Southeastern Europe
CARNEIRO6_005,Vikings,59,11.1,oldn1244,Vikings,,,,,,,,,,Northern Europe
CARNEIRO6_006,Ashanti,7,-2,asan1239,Ashanti,,,,Akan (FE12),FE12,,,,,West Tropical Africa
CARNEIRO6_007,Tahitians,-17.71,-149.54,tahi1242,Tahitians,,,,,,,,,,South-Central Pacific
CARNEIRO6_008,Ganda,1,32,gand1255,Baganda,,,,Ganda (FK07),FK07,,,,,East Tropical Africa
CARNEIRO6_009,Dogon,15,-3,bank1259,Dogon,,,,Dogon (FA16),FA16,,,,,West Tropical Africa
CARNEIRO6_010,Azande,5,27,zand1248,Azande,,,,Azande (FO07),FO07,,,,,West-Central Tropical Africa
CARNEIRO6_011,Tsonga,-24,32,tson1249,Thonga,,,,Tsonga (FT06),FT06,,,,,South Tropical Africa
CARNEIRO6_012,Venda,-23,30,vend1245,Bavenda,,,,,,,,,,Southern Africa
CARNEIRO6_013,Batak,2,98.5,toba1265,Batak,,,,,,,,"Probably more general than Toba Batak (Ib4, xd753) but there should be overlap between them",,Malesia
CARNEIRO6_014,Shilluk,10,32,shil1265,Shilluk,,,,Shilluk (FJ23),FJ23,,,,,Northeast Tropical Africa
CARNEIRO6_015,Mru,21.47,92.32,mruu1242,Mru,,,1955,,,,,,,Indian Subcontinent
CARNEIRO6_016,Mangarevans,-23.12,-134.97,mang1401,Mangarevans,,,,,,,,,,South-Central Pacific
CARNEIRO6_017,Muscogee,33,-84,cree1270,Creek,,,,Creek (NN11),NN11,,,,,Southeastern U.S.A.
