ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment
CARNEIRO6_001,"Agriculture present [Note, identical to CARNEIRO4_001]","Agriculture (horticulture) present (i.e., domesticated food plants cultivated)",,Subsistence,Categorical,,,,
CARNEIRO6_002,"Agriculture and domestic animals are primary subsistence [Note, similar to CARNEIRO4_002]",Agriculture and/or domesticated animals provide the major part of subsistence (about 75% or more),,Subsistence,Categorical,,,,
CARNEIRO6_003,"Agricultural plots repeatedly cultivated [Note, similar to CARNEIRO4_003]",Agricultural plots repeatedly cultivated except for periods of fallow (if they occur),,Subsistence,Categorical,,,,
CARNEIRO6_004,"Improved techniques of planting [Note, identical to CARNEIRO4_004]","Improved techniques of planting (e.g., mounds, planting in rows, breaking of clods, plowing, fertilization)",,Subsistence,Categorical,,,,
CARNEIRO6_005,"Soil-working tools [Note, similar to CARNEIRO4_005]","Soil-working tools other than the digging stick (e.g., hoe, spade, rake, foot plow)",,Subsistence,Categorical,,,,
CARNEIRO6_006,"Harvesting tools [Note, similar to CARNEIRO4_005]","Harvesting tools other than a simple beating stick used in reaping or threshing domesticated plants (e.g., flail, sickle, rice header, winnowing tray)",,Subsistence,Categorical,,,,
CARNEIRO6_007,"Animal-drawn plow [Note, identical to CARNEIRO4_006]",Animal-drawn plow,,Subsistence,Categorical,,,,
CARNEIRO6_008,"Fertilization of land [Note, identical to CARNEIRO4_007]","Fertilization of land with material other than wood ashes (e.g., animal manure, night soil, green manure, compost, fresh soil or mud)",,Subsistence,Categorical,,,,
CARNEIRO6_009,"Fences built to protect crops [Note, similar to CARNEIRO4_014]",Fences built around fields or gardens to protect crops,,Subsistence,Categorical,,,,
CARNEIRO6_010,Major male contribution to agriculture,Men do as much or more of the agricultural work as women (beyond clearing),,Subsistence,Categorical,,,,
CARNEIRO6_011,"Increasing agricultural land through drainage [Note, similar to CARNEIRO4_010]",Drainage employed to increase the area of available agricultural land,,Subsistence,Categorical,,,,
CARNEIRO6_012,"Irrigation of agricultural land [Note, similar to CARNEIRO4_011]",Irrigation of agricultural land,,Subsistence,Categorical,,,,
CARNEIRO6_013,"Permanent dams or dikes [Note, identical to CARNEIRO4_012]","Permanent dams or dikes to impound water for irrigation, drinking, etc.",,Subsistence,Categorical,,,,
CARNEIRO6_014,"Terracing [Note, identical to CARNEIRO4_013]",Terracing (including the erection of barriers to reduce soil slippage),,Subsistence,Categorical,,,,
CARNEIRO6_015,"Agricultural land reverted [Note, similar to CARNEIRO4_015]","Agricultural land reverts to kinship group (e.g., lineage, sib), chief or tribe, king or state, as personal property or for reassignment when owner abandons the land or dies without heirs",,Subsistence,Categorical,,,,
CARNEIRO6_016,"Agricultural land reapportioned [Note, similar to CARNEIRO4_016]","Most of the agricultural land systematically reapportioned from time to time by the village, chief, tribe, or state to insure equitable distribution and/or a high degree of cultivation, rather than for services rendered",,Subsistence,Categorical,,,,
CARNEIRO6_017,Measures to promote or maintain agricultural production,"Chief, king, or other official(s) takes measures to promote or maintain agricultural production (e.g., requires land to be worked efficiently and punishes failure to do so)",,Subsistence,Categorical,,,,
CARNEIRO6_018,"Planting and harvesting times determined by specialists [Note, similar to CARNEIRO4_018]",Political or religious officials or other specialists determine the time of planting and harvesting,,Subsistence,Categorical,,,,
CARNEIRO6_019,"State or church provides farmers with equipment [Note, identical to CARNEIRO4_019]",State or church provides farmers with seed or tools for agricultural purposes,,Subsistence,Categorical,,,,
CARNEIRO6_020,State surveying of agricultural land,State surveying of agricultural land,,Subsistence,Categorical,,,,
CARNEIRO6_021,"Regular food surplus accumulation [Note, similar to CARNEIRO4_020]","Surplus of food regularly accumulated over and above the annual subsistence needs of the food producers, and not consumed by them",,Subsistence,Categorical,,,,
CARNEIRO6_022,Agricultural estates,Agricultural estates which regularly produce a sizable surplus of food for sale to urban centers,,Subsistence,Categorical,,,,
CARNEIRO6_023,Cash crops,Cash crops raised entirely or largely for sale rather than for domestic consumption,,Subsistence,Categorical,,,,
CARNEIRO6_024,"Government granaries [Note, similar to CARNEIRO4_021]",Granaries erected by the government and food distributed from them by a government official,,Subsistence,Categorical,,,,
CARNEIRO6_025,"Domesticated animals serve as a source of food [Note, similar to CARNEIRO4_024]",Domesticated animals serve as a source of food (exclude the eating during famines or other unusual occasions of domesticated animals not normally used as food),,Subsistence,Categorical,,,,
CARNEIRO6_026,"Domesticated animals used for packing [Note, identical to CARNEIRO4_025]",Domesticated animals used for packing,,Subsistence,Categorical,,,,
CARNEIRO6_027,"Domesticated animals used for traction [Note, identical to CARNEIRO4_026]",Domesticated animals used for traction,,Subsistence,Categorical,,,,
CARNEIRO6_028,"Domesticated animals used for riding [Note, identical to CARNEIRO4_027]",Domesticated animals used for riding,,Subsistence,Categorical,,,,
CARNEIRO6_029,Domesticated animals kept for wool or hair,Domesticated animals kept for wool or hair,,Subsistence,Categorical,,,,
CARNEIRO6_030,Selective breeding of domesticated animals,Selective breeding of domesticated animals,,Subsistence,Categorical,,,,
CARNEIRO6_031,Specialized herdsmen or dairymen,Specialized herdsmen or dairymen,,Subsistence,Categorical,,,,
CARNEIRO6_032,Fisheries or fish ponds,Fisheries or fish ponds stocked and maintained to provide a regular supply of fish for food,,Subsistence,Categorical,,,,
CARNEIRO6_033,"Settlements occupied for more than 10 years [Note, similar to CARNEIRO4_028]","Settlements occupied for more than 10 years, on the average (but not necessarily all year around but at least 40 percent of the year)",,Settlements,Categorical,,,,
CARNEIRO6_034,Settlements occupied for at least 50 years,Settlements occupied for at least 50 years (but not necessarily all year around but at least 40 percent of the year),,Settlements,Categorical,,,,
CARNEIRO6_035,Settlements arranged in regular patterns,"Settlement(s) arranged in regular pattern(s), (e.g., long house, houses in rows or streets, houses built around a square or plaza)",,Settlements,Categorical,,,,
CARNEIRO6_036,"Communities of 100 or more [Note, identical to CARNEIRO4_031]",Permanent communities (settled or nomadic) of about 100 or more members,,Settlements,Categorical,,,,
