Trait_ID_6th,Trait_presence,Reference,Original_notes,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,1,Cary & Haarhoff 1940: 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,1,Cary & Haarhoff 1940: 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,1,Cary & Haarhoff 1940: 107-108,plowing [underlined]; weeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005,1,Cary & Haarhoff 1940: 107-108,"plow – Cary & Haarhoff (1940: 107), hoe – Cary & Haarhoff (1940: 108), rake – Cary & Haarhoff (1940: 108)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006,1,Carcopino 1956: 178,sickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,1,Suetonius 1957: 277; Cary & Haarhoff 1940: 109[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008,1,"Cary & Haarhoff 1940: 108-109; Adam 1792: 535; Frank 1959, Vol. 5: 159n.","plowed in beans or lupines (Cary & Haarhoff 1940: 108); vegetable manure (Frank 1959, Vol. 5: 159n); domestic animals folded in winter (Cary & Haarhoff 1940: 109); Adam (1792: 535) - (pigeons) lime, marl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009,1,Lewis & Reinhold 1966: 548; Adam 1792: 541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,1,"Frank 1959, Vol. 5: 177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,1,Suetonius 1957: 29; Adam 1792: 535,water furrows (Adam 1792: 535),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012,1,Suetonius 1957: 60; McDonald 1966: 130,"Augustus had troops clean out the irrigation canals in the Nile delta, which had silted up with many years’ neglect  – Suetonius (1957: 60); irrigated gardens – McDonald (1966: 130)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,1,Cary & Haarhoff 1940: 109; Lewis & Reinhold 1966: 384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014,1,Cary & Haarhoff 1940: 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015,1,Cary & Haarhoff 1940: 113; Lewis & Reinhold 1966: 379-380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,0,Adam 1792: 533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017,1,Suetonius 1957: 60; Lewis & Reinhold 1966: 179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020,1,Cowell 1961: 117; McDonald 1966: 132,surveyors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021,1,"Suetonius 1957: 20,60,247; McDonald 1966: 131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022,1,Cowell 1961: 88; McDonald 1966: 130,"McDonald (1966: 130) – wine, oil, vegetables, meat, leather, wool, acc. to Cato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023,1,McDonald 1966: 130-131; Carcopino 1956: 181,market gardens – Carcopino (1956: 181),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024,1,"Suetonius 1957: 20,163,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025,1,Cowell 1961: 85; Cary & Haarhoff 1940: 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026,1,Suetonius 1957: 171,pack mules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027,1,"Suetonius 1957: 26,277; Cowell 1961: 120","chariots – Suetonius (1957: 26), plows – Suetonius (1957: 277), turning mills – Cowell (1961: 120)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028,1,Suetonius 1957: 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029,1,McDonald 1966: 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030,1,Cary & Haarhoff 1940: 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031,1,Adam 1792: 534,shepherds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,1,"Forbes & Dijksterhuis 1963: 80; Frank 1959, Vol. 1: 367-368",fish and oyster ponds maintained at private villa – Forbes & Dijksterhuis (1963: 80),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
