Trait_ID_6th,Trait_presence,Reference,Original_notes,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,1,Westermann 1912: XXVIII; Howell 1952a: 100; Howell 1941: 65,Howell (1952a: 100): “good fishers”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,1,Seligman 1957: 156; Westermann 1912: XXXIV; Howell & Thomson 1946: 7; Howell 1952a: 100,"(ate grass before); Seligman (1957: 156) “diet of Nilotes mainly milk and grain”; Westermann (1912: XXXIV) – dura is staple food, “constant chief component”; Howell & Thomson (1946: 7) “supplement diet with fish”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,1,Westermann 1912: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,1,Westermann 1912: 100,mounds [underlined] - “hills”; “thinning & transplanting”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005,1,Westermann 1912: 99-100,hoe [underlined],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006,0,Westermann 1912: 101,Clam shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,0,,plow drawn by hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008,0,,(-) ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009,0,Pumphrey 1941: 9; Howell & Thomson 1946: 23,(-) ?; Pumphrey (1941: 9) ??; Howell & Thomson (1946: 23) usual Shilluk hamlet has cattle byres – doesn’t mention fences ca. crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,0,Westermann 1912: 99; Howell 1941: 65; Seligman 1957: 156; Cann 1929,?; Westermann (1912: 99) – only in last decades; Howell (1941: 65) feast after helping in field arranged by age sets; Seligman (1957: 156) “… care of the [cattle] … entirely trusted to men” (and “boys” ann),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,0,Howell 1952a: 101 footnote 4,“with clearcut watercourses as boundaries”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012,0,Wright 1951: 113-114,introduced by missionaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
