Trait_ID_6th,Trait_presence,Reference,Original_notes,Comments
001,1,Burrows 1936: 9-10,,
002,1,Burrows 1936: 130,,
003,1,Burrows 1936: 143,,
004,1,Burrows 1936: 142-143,"mounds, planting in rows [underlined]",
005,0,Burrows 1936: 141,,
006,0,Burrows 1936: 143-144,,
007,0,,,
008,0,Burrows 1936: 140,,
009,1,Burrows 1936: 10,,
010,1,Burrows 1936: 140,,
011,0,,,
012,1,"Burrows 1936: 9,141",Irrigated taro patches,
013,0,,(-) ?,
014,1,Burrows 1936: 142,,
015,0,,Land owned by the kindred,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,,,
021,0,,,
022,0,,,
023,0,,,
024,0,,,
025,1,Burrows 1936: 133,"Pigs, dogs, fowl",
026,0,,,
027,0,,,
028,0,,,
029,0,,,
030,0,,,
031,0,,,
032,0,,,
033,1,,,
034,1,,,
035,0,,,
036,1,Burrows 1936: 102,Population p. 102 - Village containing 24 households,
037,0,,(-),
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,,
047,1,"Burrows 1936: 80,124",Council house; malae; bachelor's house,
048,1,Burrows 1936: 71,,
049,0,,,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,Burrows 1936: 123,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,,
069,1,Burrows 1936: 10,,
070,0,,,
071,0,Burrows 1936: 162,,
072,0,,,
073,0,,,
074,0,,,
075,1,Burrows 1936: 162ff,(+),
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,,,
085,0,,,
086,0,,,
087,0,,,
088,0,,,
089,1,Burrows 1936: 199,Made from lime,
090,0,,,
091,0,Burrows 1936: 165,,
092,0,"Burrows 1936: 166,175","House floors of coral and pebbles from the beach. These gravel floors range in thickness from 1""-2"" to 1' (Burrows 1936: 175)",
093,0,,,
094,0,,,
095,0,,,
096,0,,,
097,0,,,
098,0,,,
099,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,(-) Master builders probably not full time specialists,
104,0,,,
105,0,,,
106,0,Burrows 1936: 80,,
107,1,Burrows 1936: 82,Log fences and stone walls along boundaries of Kaingo(?),
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,0,,,
113,0,,,
114,0,,,
115,0,,,
116,0,,,
117,1,,(+),
118,1,"Burrows 1936: 93,203-5",,
119,0,,(-),
120,1,,(+),
121,0,,(-),
122,1,Burrows 1936: 86-87,Burrows 1936: 86 - Master craftsmen who have authority over building of houses and canoes. Burrows 1936:  87 - Lautsilo supervises making of tumeric paint.,
123,0,,,
124,0,,,
125,1,Burrows 1936: 61,,
126,0,,,
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,0,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
