Trait_ID_6th,Trait_presence,Reference,Original_notes,Comments
001,0,Gould 1967,,
002,0,Gould 1967,,
003,0,Gould 1967,,
004,0,Gould 1967,,
005,0,Gould 1967,,
006,0,Gould 1967,not marked with + nor -,
007,0,Gould 1967,,
008,0,Gould 1967,,
009,0,Gould 1967,,
010,0,Gould 1967,,
011,0,Gould 1967,,
012,0,Gould 1967,,
013,0,Gould 1967,,
014,0,Gould 1967,,
015,0,Gould 1967,,
016,0,Gould 1967,,
017,0,Gould 1967,,
018,0,Gould 1967,,
019,0,Gould 1967,,
020,0,Gould 1967,,
021,0,Gould 1967,,
022,0,Gould 1967,,
023,0,Gould 1967,,
024,0,Gould 1967,,
025,0,Gould 1967,,
026,0,Gould 1967,,
027,0,Gould 1967,,
028,0,Gould 1967,,
029,0,Gould 1967,,
030,0,Gould 1967,,
031,0,Gould 1967,,
032,0,Gould 1967,,
033,0,Gould 1967,"but at least 40 percent of the year; (by ""settlement"" here I mean a campsite which is regularity revisited)",
034,0,Gould 1967,but at least 40 percent of the year,
035,0,Gould 1967,,
036,0,Gould 1967,,
037,0,Gould 1967,,
038,0,Gould 1967,,
039,0,Gould 1967,,
040,0,Gould 1967,,
041,0,Gould 1967,,
042,0,Gould 1967,,
043,0,Gould 1967,,
044,0,Gould 1967,,
045,0,Gould 1967,,
046,0,Gould 1967,,
047,0,Gould 1967,,
048,0,Gould 1967,,
049,0,Gould 1967,,
050,0,Gould 1967,,
051,0,Gould 1967,,
052,0,Gould 1967,,
053,0,Gould 1967,,
054,0,Gould 1967,,
055,0,Gould 1967,,
056,0,Gould 1967,,
057,0,Gould 1967,,
058,0,Gould 1967,,
059,0,Gould 1967,,
060,0,Gould 1967,,
061,0,Gould 1967,,
062,0,Gould 1967,,
063,0,Gould 1967,,
064,0,Gould 1967,,
065,0,Gould 1967,,
066,0,Gould 1967,,
067,0,Gould 1967,,
068,0,Gould 1967,,
069,0,Gould 1967,,
070,0,Gould 1967,,
071,0,Gould 1967,,
072,0,Gould 1967,,
073,0,Gould 1967,,
074,0,Gould 1967,,
075,0,Gould 1967,,
076,0,Gould 1967,,
077,0,Gould 1967,,
078,0,Gould 1967,,
079,0,Gould 1967,,
080,0,Gould 1967,,
081,0,Gould 1967,,
082,0,Gould 1967,,
083,0,Gould 1967,,
084,0,Gould 1967,,
085,0,Gould 1967,,
086,0,Gould 1967,,
087,0,Gould 1967,,
088,0,Gould 1967,,
089,0,Gould 1967,,
090,0,Gould 1967,,
091,0,Gould 1967,,
092,0,Gould 1967,,
093,0,Gould 1967,,
094,0,Gould 1967,,
095,0,Gould 1967,,
096,0,Gould 1967,,
097,0,Gould 1967,,
098,0,Gould 1967,,
099,0,Gould 1967,,
100,0,Gould 1967,,
101,0,Gould 1967,,
102,0,Gould 1967,,
103,0,Gould 1967,,
104,0,Gould 1967,,
105,0,Gould 1967,,
106,0,Gould 1967,,
107,0,Gould 1967,,
108,0,Gould 1967,,
109,0,Gould 1967,,
110,0,Gould 1967,,
111,0,Gould 1967,,
112,0,Gould 1967,,
113,0,Gould 1967,,
114,0,Gould 1967,,
115,0,Gould 1967,,
116,1,Gould 1967,,
117,0,Gould 1967,,
118,0,Gould 1967,,
119,0,Gould 1967,,
120,0,Gould 1967,,
121,0,Gould 1967,,
122,0,Gould 1967,,
123,0,Gould 1967,,
124,0,Gould 1967,,
125,0,Gould 1967,,
126,0,Gould 1967,,
127,0,Gould 1967,,
128,0,Gould 1967,,
129,0,Gould 1967,,
130,0,Gould 1967,,
131,0,Gould 1967,,
132,0,Gould 1967,,
133,0,Gould 1967,,
134,0,Gould 1967,,
135,0,Gould 1967,,
136,0,Gould 1967,,
137,0,Gould 1967,,
138,0,Gould 1967,,
139,0,Gould 1967,,
140,0,Gould 1967,,
141,0,Gould 1967,,
142,0,Gould 1967,,
143,0,Gould 1967,,
144,0,Gould 1967,,
145,0,Gould 1967,,
146,0,Gould 1967,,
147,1,Gould 1967,,
148,0,Gould 1967,,
149,0,Gould 1967,,
150,0,Gould 1967,,
151,0,Gould 1967,,
152,0,Gould 1967,,
153,0,Gould 1967,,
154,0,Gould 1967,,
155,0,Gould 1967,,
156,0,Gould 1967,,
157,0,Gould 1967,,
158,0,Gould 1967,,
159,0,Gould 1967,,
160,0,Gould 1967,,
161,0,Gould 1967,,
162,0,Gould 1967,,
163,0,Gould 1967,,
164,0,Gould 1967,,
165,0,Gould 1967,,
166,0,Gould 1967,,
167,0,Gould 1967,,
168,0,Gould 1967,,
169,0,Gould 1967,,
170,0,Gould 1967,,
171,0,Gould 1967,,
172,0,Gould 1967,,
173,0,Gould 1967,,
174,0,Gould 1967,,
175,0,Gould 1967,,
176,0,Gould 1967,,
177,0,Gould 1967,,
178,0,Gould 1967,,
179,0,Gould 1967,,
180,0,Gould 1967,,
181,0,Gould 1967,,
182,0,Gould 1967,,
183,0,Gould 1967,,
184,0,Gould 1967,,
185,0,Gould 1967,,
186,0,Gould 1967,,
187,0,Gould 1967,,
188,0,Gould 1967,,
189,0,Gould 1967,,
190,0,Gould 1967,,
191,0,Gould 1967,,
192,0,Gould 1967,,
193,0,Gould 1967,,
194,0,Gould 1967,,
195,0,Gould 1967,,
196,0,Gould 1967,,
197,0,Gould 1967,,
198,0,Gould 1967,,
199,0,Gould 1967,,
200,0,Gould 1967,,
201,0,Gould 1967,,
202,0,Gould 1967,,
203,0,Gould 1967,,
204,0,Gould 1967,,
205,0,Gould 1967,,
206,0,Gould 1967,,
207,0,Gould 1967,,
208,0,Gould 1967,,
209,0,Gould 1967,,
210,0,Gould 1967,,
211,0,Gould 1967,,
212,0,Gould 1967,,
213,0,Gould 1967,,
214,0,Gould 1967,,
215,0,Gould 1967,,
216,0,Gould 1967,,
217,1,Gould 1967,,
218,1,Gould 1967,,
219,1,Gould 1967,,
220,0,Gould 1967,,
221,0,Gould 1967,,
222,0,Gould 1967,,
223,0,Gould 1967,,
224,1,Gould 1967,,
225,0,Gould 1967,,
226,0,Gould 1967,,
227,0,Gould 1967,,
228,0,Gould 1967,,
229,0,Gould 1967,,
230,0,Gould 1967,,
231,0,Gould 1967,,
232,0,Gould 1967,,
233,0,Gould 1967,,
234,0,Gould 1967,,
235,0,Gould 1967,,
236,0,Gould 1967,,
237,0,Gould 1967,,
238,0,Gould 1967,,
239,0,Gould 1967,,
240,0,Gould 1967,,
241,0,Gould 1967,,
242,0,Gould 1967,,
243,0,Gould 1967,,
244,0,Gould 1967,,
245,0,Gould 1967,,
246,0,Gould 1967,,
247,0,Gould 1967,,
248,0,Gould 1967,,
249,0,Gould 1967,,
250,0,Gould 1967,,
251,0,Gould 1967,,
252,0,Gould 1967,,
253,0,Gould 1967,,
254,0,Gould 1967,,
255,0,Gould 1967,,
256,0,Gould 1967,,
257,0,Gould 1967,,
258,0,Gould 1967,,
259,0,Gould 1967,,
260,0,Gould 1967,,
261,0,Gould 1967,,
262,0,Gould 1967,,
263,0,Gould 1967,,
264,0,Gould 1967,,
265,0,Gould 1967,,
266,0,Gould 1967,,
267,0,Gould 1967,,
268,0,Gould 1967,,
269,0,Gould 1967,,
270,0,Gould 1967,,
271,0,Gould 1967,,
272,0,Gould 1967,,
273,0,Gould 1967,,
274,0,Gould 1967,,
275,0,Gould 1967,,
276,0,Gould 1967,,
277,0,Gould 1967,,
278,0,Gould 1967,,
279,0,Gould 1967,,
280,0,Gould 1967,,
281,0,Gould 1967,,
282,0,Gould 1967,,
283,0,Gould 1967,,
284,0,Gould 1967,,
285,0,Gould 1967,,
286,0,Gould 1967,,
287,0,Gould 1967,,
288,0,Gould 1967,,
289,0,Gould 1967,,
290,0,Gould 1967,,
291,0,Gould 1967,,
292,0,Gould 1967,,
293,0,Gould 1967,,
294,0,Gould 1967,,
295,0,Gould 1967,,
296,0,Gould 1967,,
297,0,Gould 1967,,
298,0,Gould 1967,,
299,0,Gould 1967,,
300,0,Gould 1967,,
301,0,Gould 1967,,
302,0,Gould 1967,,
303,0,Gould 1967,,
304,0,Gould 1967,,
305,0,Gould 1967,,
306,0,Gould 1967,,
307,0,Gould 1967,,
308,0,Gould 1967,,
309,0,Gould 1967,,
310,0,Gould 1967,,
311,0,Gould 1967,,
312,0,Gould 1967,,
313,0,Gould 1967,,
314,0,Gould 1967,,
315,0,Gould 1967,,
316,0,Gould 1967,,
317,0,Gould 1967,,
318,0,Gould 1967,,
319,0,Gould 1967,,
320,0,Gould 1967,,
321,0,Gould 1967,,
322,0,Gould 1967,,
323,0,Gould 1967,,
324,0,Gould 1967,,
325,0,Gould 1967,,
326,0,Gould 1967,,
327,0,Gould 1967,,
328,0,Gould 1967,,
329,0,Gould 1967,,
330,0,Gould 1967,,
331,0,Gould 1967,,
332,0,Gould 1967,,
333,0,Gould 1967,,
334,0,Gould 1967,,
335,0,Gould 1967,,
336,0,Gould 1967,,
337,0,Gould 1967,,
338,0,Gould 1967,,
339,0,Gould 1967,,
340,0,Gould 1967,,
341,0,Gould 1967,,
342,0,Gould 1967,,
343,0,Gould 1967,,
344,0,Gould 1967,,
345,0,Gould 1967,,
346,0,Gould 1967,,
347,0,Gould 1967,,
348,0,Gould 1967,,
349,0,Gould 1967,,
350,0,Gould 1967,,
