Trait_ID_6th,Trait_presence,Reference,Original_notes,Comments
001,1,"Holmberg 1969: 67; Rydén 1941: 32f.,125","I think minor agric. is well integrated, see Holmberg (1969: 67); some question as to whether tobacco, urucu and cotton were planted before contact. Probably not.",
002,0,Rydén 1941: 34,"""...agriculture, if formerly carried on, was never given a chance to develop into an important industry""",
003,0,,,
004,0,,,
005,0,,,
006,0,,,
007,0,,,
008,0,,,
009,0,,,
010,0,,"(?), degree to which men participate in agriculture. Holmberg not clear as to proportion",
011,0,,,
012,0,,,
013,0,Rydén 1941: 69,See Rydén (1941: 69),
014,0,,,
015,0,,,
016,0,,,
017,0,,,
018,0,,,
019,0,,,
020,0,,,
021,0,Rydén 1941: 35,"""no store of hoarded food to fall back on""",
022,0,,,
023,0,,,
024,0,,,
025,0,Holmberg 1969: 69,"""Sirionó posseses no domestic fowl nor the dog."" (Other tribes only had dog.)",
026,0,Holmberg 1969: 69,"""Sirionó posseses no domestic fowl nor the dog."" (Other tribes only had dog.)",
027,0,Holmberg 1969: 69,"""Sirionó posseses no domestic fowl nor the dog."" (Other tribes only had dog.)",
028,0,Holmberg 1969: 69,"""Sirionó posseses no domestic fowl nor the dog."" (Other tribes only had dog.)",
029,0,Holmberg 1969: 69,"""Sirionó posseses no domestic fowl nor the dog."" (Other tribes only had dog.)",
030,0,Holmberg 1969: 69,"""Sirionó posseses no domestic fowl nor the dog."" (Other tribes only had dog.)",
031,0,,,
032,0,,,
033,0,"Rydén 1941: 44; Holmberg 1969: 107,47","Dwelling site moved; Some settlements abandoned after 3 days, others 6 mo.; do return to sites w/ garden plots",
034,0,,,
035,0,,(-) usually just one structure,
036,0,"Rydén 1941: 12; Holmberg 1969: xix,131",Rydén 1941: 12 - 30 Families; Holmberg 1969: xix - Bands of 60; Holmberg 1969: 131 - example: 94 in a band; Single dwelling. Chief in centre.,
037,0,,,
038,0,,,
039,0,,,
040,0,,,
041,0,,,
042,0,,,
043,0,,,
044,0,,,
045,0,,,
046,0,,,
047,0,,,
048,0,Rydén 1941: 117,,
049,0,,no stone in area for this purpose,
050,0,,,
051,0,,,
052,0,,,
053,0,,,
054,0,,,
055,0,,,
056,0,,,
057,0,,,
058,0,,,
059,0,,,
060,0,,,
061,0,,,
062,0,,,
063,0,,,
064,0,,,
065,0,,,
066,0,,,
067,0,,,
068,0,,"just paths, although they have a predictable pattern",
069,0,,"vine ropes [underlined], just lianas",
070,0,,,
071,0,Holmberg 1969: 34,"(?) ""vaguely"" (Thatch looks oval); house shape - previous list is wrong, the houses' ground plans are not rectangular.",
072,0,,,
073,0,,,
074,0,Holmberg 1969: 38,"granaries, clubhouses, etc. are not built. No walls inside",
075,1,"Holmberg 1969: 34,37-38","""family units"" [underlined]; entire band or single family (Holmberg 1969: 34), whoever is there (Holmberg 1969: 37), a settlement is a single hut (Holmberg 1969: 38)",
076,0,,,
077,0,,,
078,0,,,
079,0,,,
080,0,,,
081,0,,,
082,0,,,
083,0,,,
084,0,,,
085,0,,,
086,0,,,
087,0,,,
088,0,,,
089,0,,,
090,0,,,
